iter	Passed	Remaining
1015	26075	25254
1016	26099	25227
1017	26124	25200
1018	26149	25174
1019	26173	25147
1020	26199	25121
1021	26224	25095
1022	26249	25069
1023	26275	25043
1024	26300	25017
1025	26324	24990
1026	26350	24964
1027	26373	24937
1028	26398	24910
1029	26426	24887
1030	26451	24861
1031	26476	24834
1032	26499	24806
1033	26526	24781
1034	26551	24755
1035	26576	24729
1036	26601	24703
1037	26626	24677
1038	26651	24650
1039	26675	24623
1040	26701	24598
1041	26729	24574
1042	26755	24549
1043	26780	24523
1044	26804	24495
1045	26829	24469
1046	26854	24443
1047	26878	24416
1048	26903	24389
1049	26929	24364
1050	26955	24339
1051	26980	24312
1052	27006	24288
1053	27032	24262
1054	27057	24236
1055	27081	24209
1056	27106	24183
1057	27130	24155
1058	27156	24130
1059	27183	24106
1060	27211	24082
1061	27237	24056
1062	27264	24032
1063	27292	24009
1064	27316	23982
1065	27341	23955
1066	27366	23929
1067	27390	23902
1068	27418	23879
1069	27442	23851
1070	27467	23825
1071	27492	23799
1072	27517	23772
1073	27541	23746
1074	27567	23720
1075	27591	23693
1076	27616	23667
1077	27642	23642
1078	27667	23616
1079	27692	23589
1080	27716	23562
1081	27741	23536
1082	27764	23509
1083	27790	23483
1084	27819	23460
1085	27846	23436
1086	27873	23411
1087	27898	23385
1088	27924	23359
1089	27948	23333
1090	27973	23306
1091	27998	23280
1092	28024	23255
1093	28047	23227
1094	28073	23202
1095	28100	23177
1096	28124	23150
1097	28150	23125
1098	28174	23098
1099	28200	23073
1100	28227	23048
1101	28257	23026
1102	28283	23001
1103	28310	22976
1104	28336	22951
1105	28363	22926
1106	28392	22903
1107	28451	22905
1108	28480	22882
1109	28505	22855
1110	28531	22829
1111	28559	22806
1112	28587	22782
1113	28612	22756
1114	28638	22730
1115	28663	22704
1116	28690	22680
1117	28716	22655
1118	28744	22631
1119	28772	22606
1120	28801	22583
1121	28828	22559
1122	28859	22537
1123	28890	22516
1124	28932	22502
1125	28973	22489
1126	29006	22468
1127	29036	22446
1128	29068	22426
1129	29098	22403
1130	29128	22380
1131	29156	22356
1132	29184	22332
1133	29212	22308
1134	29239	22283
1135	29276	22266
1136	29313	22249
1137	29348	22230
1138	29382	22211
1139	29418	22192
1140	29451	22172
1141	29479	22148
1142	29508	22124
1143	29537	22101
1144	29567	22078
1145	29594	22054
1146	29624	22031
1147	29652	22006
1148	29680	21982
1149	29708	21958
1150	29733	21931
1151	29761	21907
1152	29791	21884
1153	29824	21864
1154	29856	21843
1155	29891	21823
1156	29922	21801
1157	29948	21776
1158	29974	21750
1159	30000	21724
1160	30026	21698
1161	30051	21672
1162	30078	21647
1163	30106	21622
1164	30138	21601
1165	30167	21578
1166	30196	21553
1167	30226	21531
1168	30257	21509
1169	30286	21484
1170	30314	21461
1171	30343	21436
1172	30369	21411
1173	30394	21385
1174	30419	21358
1175	30445	21332
1176	30470	21306
1177	30501	21283
1178	30530	21259
1179	30560	21236
1180	30589	21213
1181	30617	21188
1182	30646	21164
1183	30676	21142
1184	30705	21118
1185	30734	21094
1186	30763	21070
1187	30790	21045
1188	30814	21017
1189	30842	20993
1190	30872	20970
1191	30900	20946
1192	30928	20921
1193	30954	20895
1194	30981	20870
1195	31016	20850
1196	31043	20825
1197	31068	20798
1198	31093	20772
1199	31119	20746
1200	31144	20719
1201	31169	20693
1202	31198	20669
1203	31229	20646
1204	31261	20624
1205	31290	20600
1206	31317	20575
1207	31343	20549
1208	31372	20525
1209	31397	20499
1210	31425	20474
1211	31451	20448
1212	31477	20422
1213	31502	20395
1214	31526	20369
1215	31553	20343
1216	31579	20318
1217	31610	20294
1218	31640	20271
1219	31675	20251
1220	31704	20227
1221	31733	20203
1222	31761	20179
1223	31789	20153
1224	31814	20127
1225	31841	20101
1226	31867	20076
1227	31895	20051
1228	31920	20025
1229	31948	20000
1230	31974	19974
1231	32000	19948
1232	32024	19921
1233	32048	19894
1234	32073	19867
1235	32098	19840
1236	32125	19815
1237	32156	19792
1238	32185	19768
1239	32215	19744
1240	32241	19719
1241	32269	19694
1242	32298	19670
1243	32328	19646
1244	32356	19621
1245	32383	19596
1246	32410	19570
1247	32437	19545
1248	32462	19519
1249	32489	19493
1250	32515	19467
1251	32545	19443
1252	32573	19419
1253	32599	19393
1254	32625	19367
1255	32652	19341
1256	32679	19316
1257	32704	19289
1258	32730	19263
1259	32753	19236
1260	32782	19211
1261	32807	19185
1262	32831	19158
1263	32856	19131
1264	32880	19104
1265	32904	19077
1266	32929	19050
1267	32953	19023
1268	32979	18997
1269	33004	18971
1270	33032	18946
1271	33056	18919
1272	33080	18892
1273	33104	18865
1274	33134	18840
1275	33159	18814
1276	33186	18789
1277	33212	18763
1278	33244	18740
1279	33275	18717
1280	33311	18697
1281	33351	18678
1282	33384	18656
1283	33419	18635
1284	33450	18612
1285	33476	18586
1286	33501	18559
1287	33526	18533
1288	33550	18506
1289	33577	18480
1290	33607	18456
1291	33638	18433
1292	33668	18409
1293	33698	18385
1294	33725	18360
1295	33754	18335
1296	33781	18310
1297	33807	18284
1298	33834	18258
1299	33861	18233
1300	33893	18210
1301	33940	18195
1302	33969	18171
1303	34002	18148
1304	34033	18125
1305	34067	18103
1306	34100	18080
1307	34130	18056
1308	34158	18031
1309	34183	18005
1310	34208	17978
1311	34239	17954
1312	34269	17930
1313	34298	17906
1314	34330	17883
1315	34361	17859
1316	34390	17834
1317	34420	17811
1318	34451	17787
1319	34480	17762
1320	34507	17737
1321	34535	17711
1322	34565	17687
1323	34597	17664
1324	34627	17640
1325	34658	17616
1326	34686	17591
1327	34716	17567
1328	34745	17542
1329	34772	17517
1330	34801	17492
1331	34827	17465
1332	34853	17439
1333	34879	17413
1334	34903	17386
1335	34927	17359
1336	34955	17333
1337	34981	17307
1338	35007	17281
1339	35032	17254
1340	35057	17227
1341	35081	17200
1342	35107	17174
1343	35132	17147
1344	35159	17122
1345	35184	17095
1346	35209	17068
1347	35235	17042
1348	35260	17015
1349	35284	16988
1350	35316	16965
1351	35342	16939
1352	35368	16913
1353	35399	16889
1354	35426	16863
1355	35454	16838
1356	35480	16812
1357	35508	16786
1358	35534	16760
1359	35559	16733
1360	35585	16707
1361	35611	16681
1362	35637	16655
1363	35661	16628
1364	35686	16601
1365	35713	16575
1366	35737	16548
1367	35764	16522
1368	35791	16496
1369	35820	16472
1370	35849	16447
1371	35877	16422
1372	35904	16396
1373	35933	16371
1374	35962	16346
1375	35992	16322
1376	36022	16297
1377	36053	16273
1378	36083	16249
1379	36112	16224
1380	36140	16198
1381	36167	16173
1382	36193	16147
1383	36221	16121
1384	36249	16096
1385	36278	16071
1386	36306	16046
1387	36331	16019
1388	36354	15991
1389	36380	15965
1390	36404	15938
1391	36428	15911
1392	36453	15884
1393	36478	15857
1394	36505	15832
1395	36530	15805
1396	36563	15782
1397	36593	15757
1398	36620	15731
1399	36649	15706
1400	36682	15683
1401	36711	15658
1402	36740	15633
1403	36769	15608
1404	36797	15583
1405	36823	15556
1406	36851	15531
1407	36879	15506
1408	36908	15481
1409	36937	15456
1410	36970	15432
